ID,Education,JoiningYear,City,Age,ExperienceInCurrentDomain,PersonalityType,ProjectDescription,SoftSkill
1,Bachelors,2017,Bangalore,34,0,8,Project related to implementing continuous integration and deployment (CI/CD) using technology JavaScript and framework Spring.,"['Change management', 'Presentation skills', 'Critical thinking']"
2,Bachelors,2013,Pune,28,3,7,Project related to enhancing system performance using technology CSS and framework Ruby on Rails.,"['Team management', 'Interpersonal communication', 'Strategic thinking', 'Negotiation']"
3,Bachelors,2014,New Delhi,38,2,2,Project related to designing a database schema using technology SQL and framework React.,"['Change management', 'Emotional intelligence', 'Conflict management', 'Motivation', 'Project management', 'Team management']"
4,Masters,2016,Bangalore,27,5,4,Project related to creating a web application using technology PHP and framework Angular.,"['Empathy', 'Leadership', 'Risk management']"
5,Masters,2017,Pune,24,2,5,Project related to writing technical documentation using technology JavaScript and framework Spring.,"['Project management', 'Problem-solving', 'Conflict management']"
6,Bachelors,2016,Bangalore,22,0,7,Project related to creating user interfaces using technology JavaScript and framework Spring.,"['Flexibility', 'Motivation', 'Teamwork']"
7,Bachelors,2015,New Delhi,38,0,3,Project related to implementing a data management system using technology Python and framework React.,"['Ability to work in a diverse environment', 'Creativity', 'Leadership']"
8,Bachelors,2016,Bangalore,34,2,4,Project related to implementing security measures using technology Ruby and framework React.,"['Listening skills', 'Stress management', 'Interpersonal communication']"
9,Bachelors,2016,Pune,23,1,6,Project related to creating a responsive design using technology Ruby and framework Django.,"['Emotional intelligence', 'Conflict management', 'Interpersonal communication']"
10,Masters,2017,New Delhi,37,2,6,Project related to preparing data analysis using technology HTML and framework Angular.,"['Collaboration', 'Leadership', 'Data analysis']"
11,Masters,2012,Bangalore,27,5,2,Project related to writing technical documentation using technology Python and framework Angular.,"['Networking', 'Critical thinking', 'Project management']"
12,Bachelors,2016,Pune,34,3,7,Project related to preparing data analysis using technology SQL and framework Angular.,"['Stress management', 'Decision-making', 'Problem-solving', 'Creativity']"
13,Bachelors,2018,Pune,32,5,5,Project related to developing an API using technology JavaScript and framework Angular.,"['Listening skills', 'Ability to work in a diverse environment', 'Project management', 'Creativity']"
14,Bachelors,2016,Bangalore,39,2,3,Project related to developing an API using technology HTML and framework Spring.,"['Interpersonal communication', 'Assertiveness', 'Stress management']"
15,Bachelors,2012,Bangalore,37,4,3,Project related to writing technical documentation using technology Python and framework Flask.,"['Networking', 'Stress management', 'Empathy', 'Interpersonal communication']"
16,Bachelors,2017,Bangalore,29,3,1,Project related to developing a mobile application using technology HTML and framework Vue.,"['Time management', 'Persuasion', 'Strategic thinking']"
17,Bachelors,2014,Bangalore,34,2,8,Project related to enhancing system performance using technology Ruby and framework Flask.,"['Creativity', 'Persuasion', 'Risk management', 'Networking', 'Presentation skills', 'Conflict management']"
18,Bachelors,2014,Pune,34,4,7,Project related to conducting user research using technology Ruby and framework React.,"['Decision-making', 'Motivation', 'Stress management', 'Organization', 'Strategic thinking', 'Presentation skills']"
19,Bachelors,2015,Pune,30,0,7,Project related to automating testing processes using technology C# and framework Flask.,"['Adaptability to change', 'Flexibility', 'Networking']"
20,Bachelors,2016,New Delhi,22,0,3,Project related to implementing continuous integration and deployment (CI/CD) using technology HTML and framework Angular.,"['Decision-making', 'Strategic thinking', 'Stress management', 'Creativity', 'Assertiveness']"
21,Bachelors,2012,Bangalore,37,0,7,Project related to creating a data visualization dashboard using technology JavaScript and framework Spring.,"['Presentation skills', 'Problem-solving', 'Persuasion', 'Creativity', 'Project management', 'Negotiation']"
22,Masters,2017,New Delhi,28,4,7,Project related to enhancing system performance using technology Java and framework Spring.,"['Project management', 'Persuasion', 'Organization', 'Data analysis', 'Risk management', 'Listening skills']"
23,Bachelors,2017,New Delhi,36,3,7,Project related to integrating various systems using technology Python and framework Ruby on Rails.,"['Collaboration', 'Listening skills', 'Motivation', 'Ability to work in a diverse environment', 'Change management', 'Flexibility']"
24,Bachelors,2015,Bangalore,27,5,8,Project related to implementing security measures using technology PHP and framework Ruby on Rails.,"['Assertiveness', 'Decision-making', 'Problem-solving']"
25,Bachelors,2017,Bangalore,29,4,6,Project related to designing a database schema using technology PHP and framework Vue.,"['Time management', 'Critical thinking', 'Team management', 'Adaptability to change']"
26,Bachelors,2013,Bangalore,22,0,4,Project related to preparing data analysis using technology HTML and framework Django.,"['Stress management', 'Risk management', 'Adaptability to change', 'Conflict management']"
27,Bachelors,2016,Bangalore,37,2,5,Project related to developing a mobile application using technology CSS and framework Angular.,"['Leadership', 'Flexibility', 'Networking']"
28,Bachelors,2015,Bangalore,23,1,7,Project related to building a machine learning model using technology Java and framework Django.,"['Presentation skills', 'Critical assessment skills', 'Stress management']"
29,Bachelors,2013,Pune,31,2,1,Project related to building a machine learning model using technology CSS and framework Vue.,"['Flexibility', 'Creativity', 'Interpersonal communication', 'Persuasion', 'Critical assessment skills', 'Presentation skills']"
30,Masters,2017,New Delhi,30,2,1,Project related to optimizing existing software using technology C# and framework Vue.,"['Critical assessment skills', 'Teamwork', 'Problem-solving', 'Team management', 'Presentation skills', 'Adaptability to change']"
31,PHD,2013,New Delhi,25,3,2,Project related to implementing continuous integration and deployment (CI/CD) using technology Python and framework Angular.,"['Negotiation', 'Project management', 'Data analysis']"
32,Bachelors,2014,Bangalore,23,1,6,Project related to creating a web application using technology PHP and framework Spring.,"['Stress management', 'Empathy', 'Conflict management', 'Emotional intelligence']"
33,Bachelors,2018,Bangalore,26,4,5,Project related to creating a responsive design using technology SQL and framework Angular.,"['Interpersonal communication', 'Problem-solving', 'Persuasion', 'Creativity']"
34,Bachelors,2016,Bangalore,40,5,8,Project related to conducting user research using technology Python and framework Django.,"['Time management', 'Teamwork', 'Data analysis', 'Flexibility']"
35,Bachelors,2017,Pune,37,0,4,Project related to implementing continuous integration and deployment (CI/CD) using technology Java and framework Django.,"['Listening skills', 'Ability to work in a diverse environment', 'Emotional intelligence', 'Stress management']"
36,Bachelors,2014,Bangalore,30,3,6,Project related to creating a data visualization dashboard using technology HTML and framework Vue.,"['Data analysis', 'Assertiveness', 'Organization', 'Flexibility', 'Presentation skills']"
37,Bachelors,2012,New Delhi,29,3,1,Project related to writing technical documentation using technology Python and framework Angular.,"['Critical thinking', 'Change management', 'Data analysis']"
38,Bachelors,2018,New Delhi,34,0,8,Project related to designing a database schema using technology Java and framework React.,"['Interpersonal communication', 'Listening skills', 'Change management', 'Project management', 'Collaboration']"
39,Bachelors,2017,Pune,29,2,2,Project related to developing a chatbot using technology Python and framework Spring.,"['Adaptability to change', 'Collaboration', 'Assertiveness', 'Leadership', 'Team management', 'Critical assessment skills']"
40,Bachelors,2014,Pune,30,4,5,Project related to developing an API using technology C# and framework Vue.,"['Critical assessment skills', 'Conflict management', 'Time management', 'Networking', 'Leadership', 'Data analysis']"
41,Bachelors,2015,Bangalore,36,1,1,Project related to implementing a data management system using technology Java and framework Flask.,"['Critical thinking', 'Creativity', 'Organization', 'Adaptability to change', 'Decision-making']"
42,Masters,2017,New Delhi,23,1,6,Project related to creating a responsive design using technology Java and framework Ruby on Rails.,"['Data analysis', 'Motivation', 'Creativity', 'Ability to work in a diverse environment']"
43,Bachelors,2013,Bangalore,30,3,1,Project related to writing technical documentation using technology SQL and framework Flask.,"['Networking', 'Data analysis', 'Critical assessment skills', 'Team management']"
44,Bachelors,2014,Bangalore,36,0,1,Project related to designing a database schema using technology C# and framework Spring.,"['Interpersonal communication', 'Decision-making', 'Strategic thinking', 'Ability to work in a diverse environment', 'Creativity', 'Negotiation']"
45,Bachelors,2015,Pune,39,4,1,Project related to implementing continuous integration and deployment (CI/CD) using technology Ruby and framework Spring.,"['Ability to work in a diverse environment', 'Critical assessment skills', 'Time management']"
46,Bachelors,2014,Bangalore,23,1,8,Project related to creating a web application using technology CSS and framework Vue.,"['Stress management', 'Interpersonal communication', 'Risk management', 'Problem-solving', 'Time management', 'Collaboration']"
47,PHD,2012,New Delhi,27,5,8,Project related to creating a responsive design using technology C# and framework Vue.,"['Project management', 'Persuasion', 'Change management', 'Assertiveness', 'Networking', 'Problem-solving']"
48,Masters,2013,New Delhi,35,2,4,Project related to creating a data visualization dashboard using technology C# and framework Spring.,"['Strategic thinking', 'Time management', 'Teamwork', 'Flexibility', 'Presentation skills', 'Change management']"
49,Masters,2017,New Delhi,34,0,4,Project related to conducting user research using technology Java and framework Flask.,"['Assertiveness', 'Creativity', 'Networking']"
